                                              Dest      17kW      10kW      64kW      21kW       8kW      11kW      14kW      40kW      16kW      13kW       6kW      20kW
                            Ace Hotel Palm Springs         0         0         0         0         0         0         0         0         0         2         0         0
                           Joseph Phelps Vineyards         0         0         0         0         0         0         0         0         0         2         0         0
                      Ayres Inn & Suites - Ontario         0         0         0         0         0         0         0         0         3         0         0         0
   Hampton Inn Los Angeles Int'l Airport Hawthorne         0         0         0         0         0         0         0         0         3         0         0         0
                                  Santa Anita Park         0         0         0         0         3         0         0         0         0         0         0         0
                           Southbridge Napa Valley         0         0         0         0         0         0         0         0         2         0         0         0
                        SLS Hotel at Beverly Hills         0         0         0         0         2         0         0         0         0         0         0         0
                                Hotel del Coronado         0         0         0         0         0         0         0         0         0         0         4         0
                                     Davis Estates         0         0         0         0         0         0         0         0         2         0         0         0
                                 Element  Palmdale         0         0         0         0         0         0         0         0         3         0         0         0
                          Paradise Cove Beach Cafe         0         0         0         0         0         0         0         0         2         0         0         0
                                The Coachman Hotel         0         0         0         0         0         0         0         0         1         0         0         0
                             Thomas George Estates         0         0         0         0         0         0         0         0         1         0         0         0
                                  Anaheim Marriott         0         0         0         0         0         0         0         0         2         0         0         0
                                  Acquiesce Winery         0         0         0         0         1         0         0         0         0         0         0         0
            Tallman Hotel and Blue Wing Restaurant         0         0         0         0         0         0         0         0         2         0         0         0
                                Palissandro Winery         0         0         0         0         1         0         0         0         0         0         0         0
                                Belmond El Encanto         0         4         0         0         0         0         0         0         0         0         0         0
  Universal CityWalk Parking (Frankenstein Garage)         0         0         0         0         0         0         0         0         1         0         0         0
                   Coronado Island Marriott Resort         0         0         0         0         0         0         0         0         2         0         0         0
                                             PRESS         0         0         0         0         1         0         0         0         0         0         0         0
                       Shutters on the Beach Hotel         0         0         0         0         3         0         0         0         0         0         0         0
                            Five Crowns Restaurant         0         0         0         0         0         0         0         0         0         2         0         0
                            Ayres Hotel - Redlands         0         0         0         0         0         0         0         0         3         0         0         0
                   Hotel Buchanan, a Kimpton Hotel         0         0         0         0         0         0         0         0         0         2         0         0
                                       SENZA Hotel         0         0         0         0         0         0         0         0         0         2         0         0
                             Westin Monache Resort         0         0         0         0         3         0         0         0         0         0         0         0
                            Tedeschi Family Winery         0         0         0         0         1         0         0         0         0         0         0         0
                            The Inn at Locke House         0         0         0         0         0         0         0         0         1         0         0         0
InterContinental Hotel Los Angeles, Century City at Beverly Hills         0         0         0         0         0         0         0         0         2         0         0         0
                                 Seven Mile Casino         0         0         0         0         0         0         0         0         0         4         0         0
                               Cavallo Point Lodge         0         0         0         0         0         0         0         0         0         2         0         0
             The Fairmont Sonoma Mission Inn & Spa         0         0         0         0         0         0         0         0         0         2         0         0
                        Silverlakes Sports Complex         0         0         0         0         0         0         0         0         2         0         0         0
               Grand Residences by Marriott, Tahoe         0         0         0         0         0         0         0         0         1         0         0         0
                                Colony Palms Hotel         0         0         0         0         0         0         0         0         0         2         0         0
                                    Dunsmuir Lodge         0         2         0         0         0         0         0         0         0         0         0         0
         SpringHill Suites by Marriott Napa Valley         0         0         0         0         0         0         0         0         5         0         0         0
                                       Rudd Winery         0         0         0         0         1         0         0         0         0         0         0         0
                         The Standard, Downtown LA         0         0         0         0         0         0         0         0         2         0         0         0
                                     80|50 Mammoth         0         0         0         0         0         0         0         0         2         0         0         0
                          Orchard Hill Country Inn         0         0         0         0         0         0         0         0         0         2         0         0
             The Willows Historic Palm Springs Inn         0         0         0         0         0         0         0         0         0         1         0         0
                               Mendocino Inn & Spa         0         0         0         0         0         0         0         0         2         0         0         0
                              Monarch Beach Resort         0         0         0         0         0         0         0         0         3         0         0         0
                    On the Beach Bed and Breakfast         0         0         0         0         2         0         0         0         0         0         0         0
                                    Days Inn Ukiah         0         0         0         0         2         0         0         0         0         0         0         0
                     Fairmont Grand Del Mar Resort         0         0         0         0         0         0         0         0         4         0         0         0
         Riverside Inn, a Select Registry Property         0         0         0         0         0         0         0         0         1         0         0         0
                         Twomey Cellars, Calistoga         0         0         0         0         0         0         0         0         1         0         0         0
                       The Gables Wine Country Inn         0         0         0         0         0         0         0         0         0         2         0         0
                                  Sand Pebbles Inn         0         0         0         0         0         0         0         0         1         0         0         0
              Vista Sotheby's international Realty         0         0         0         0         0         0         0         0         1         0         0         0
                                   Paso Robles Inn         0         0         0         0         0         0         0         0         1         0         0         0
                                     Sea Otter Inn         0         0         0         0         0         0         0         0         2         0         0         0
              Sofitel Los Angeles at Beverly Hills         0         0         0         0         0         0         0         0         6         0         0         0
                                Stonehouse Cellars         0         0         0         0         0         0         0         0         2         0         0         0
                        Radisson Hotel Santa Maria         0         0         0         0         0         0         0         0         2         0         0         0
                                Emeritus Vineyards         0         0         0         0         1         0         0         0         0         0         0         0
                                   La Maison Hotel         0         0         0         0         0         0         0         0         0         1         0         0
                         The Beverly Garland Hotel         0         0         0         0         0         0         0         0         2         0         0         0
                               Charles Krug Winery         0         0         0         0         0         0         0         0         1         0         0         0
                            Williams Selyem Winery         0         2         0         0         0         0         0         0         0         0         0         0
                Fairmont Miramar Hotel & Bungalows         0         0         0         0         0         0         0         0         0         2         0         0
                              Oxford Suites Sonoma         0         0         0         0         0         0         0         0         2         0         0         0
                       Hyatt Centric Santa Barbara         0         0         0         0         0         0         0         0         3         0         0         0
                    Anchor Beach Inn Crescent City         0         0         0         0         0         0         0         0         4         0         0         0
                                 Ventana Inn & Spa         0         0         0         0         0         0         0         0         3         0         0         0
               Best Western Plus Thousand Oaks Inn         0         0         0         0         0         0         0         0         0         0         2         0
                      La Jolla Beach & Tennis Club         0         0         0         0         4         0         0         0         0         0         0         0
                   Wilshire Vermont Parking Garage         0         0         0         0         2         0         0         0         0         0         0         0
                                        Dakota Shy         0         0         0         0         0         0         0         0         2         0         0         0
                                     Tower23 Hotel         0         0         0         0         0         0         0         0         2         0         0         0
                                 Fogline Vineyards         0         0         0         0         0         0         0         0         2         0         0         0
                                Surf & Sand Resort         0         0         0         0         6         0         0         0         0         0         0         0
                                  Blue Dolphin Inn         0         0         0         0         0         0         0         0         1         0         0         0
  The London West Hollywood at Beverly Hills Hotel         0         0         0         0         0         0         0         0         1         0         0         0
                               Parker Palm Springs         0         0         0         0         2         0         0         0         0         0         0         0
                                Park Central Hotel         0         0         0         0         0         0         0         0         1         0         0         0
                                          ZD Wines         0         0         0         0         0         0         0         0         0         2         0         0
                                   Villafranca Inn         0         0         0         0         1         0         0         0         0         0         0         0
             Best Western Plus Marina Shores Hotel         0         0         0         0         0         0         0         0         0         0         2         0
                                The Gardens Casino         0         0         0         0         0         0         3         0         0         0         0         0
     Dunbar House 1880, a Select Registry Property         0         0         0         0         1         0         0         0         0         0         0         0
                           The Standard, Hollywood         0         0         0         0         0         0         0         0         3         0         0         0
                                 Park Hyatt Aviara         0         0         0         0         0         0         0         0         6         0         0         0
                                     Farmhouse Inn         0         0         0         0         0         0         0         0         2         0         0         0
                        Four Seasons Resort Aviara         0         0         0         0         0         0         0         0         0         0         4         0
                         Ayres Hotel - Chino Hills         0         0         0         0         0         0         0         0         0         0         2         0
                                     Hotel Bel-Air         0         0         0         0         0         0         0         0         4         0         0         0
                              Bella Vista Vineyard         0         0         0         0         3         0         0         0         0         0         0         0
                             The Murieta Inn & Spa         0         0         0         0         1         0         0         0         0         0         0         0
            Beverly Wilshire, a Four Seasons Hotel         0         0         0         0         0         0         0         0         6         0         0         0
                  W Hollywood Hotel and Residences         0         0         0         0         0         0         0         0         4         0         0         0
                                        Elan Hotel         0         0         0         0         2         0         0         0         0         0         0         0
                                   CaliPaso Winery         0         0         0         0         0         0         0         0         0         2         0         0
                                   Irvine Marriott         0         0         0         0         3         0         0         0         0         0         0         0
                                     EV Energy Inc         0         0         0         0         0         0         0         0         1         0         0         0
                                  Ocean View Lodge         0         0         0         0         0         0         0         0         2         0         0         0
                              Chicken Ranch Casino         0         0         0         0         0         0         0         0         3         0         0         0
                                  The Old West Inn         0         0         0         0         1         0         0         0         0         0         0         0
                      Los Angeles Airport Marriott         0         0         0         0         0         0         0         0         0         2         0         0
                              The Old Lewiston Inn         0         0         0         0         0         0         0         0         2         0         0         0
                                ALO Hotel - Orange         0         0         0         0         0         0         0         0         3         0         0         0
                                 Avila Village Inn         0         0         0         0         2         0         0         0         0         0         0         0
                                    Benovia Winery         0         0         0         0         0         0         0         0         1         0         0         0
                   The Ritz-Carlton, Rancho Mirage         0         0         0         0         0         0         0         0         0         4         0         0
              345 California Center Parking Garage         0         0         0         0         0         0         0         0         1         0         0         0
                      Center Street Parking Garage         0         3         0         0         0         0         0         0         0         0         0         0
                                      Victoria Inn         0         0         0         0         1         0         0         0         0         0         0         0
                                Robert Hall Winery         0         0         0         0         2         0         0         0         0         0         0         0
                             Whitehall Lane Winery         0         0         0         0         0         0         0         0         1         0         0         0
                   Hilton Garden Inn Rancho Mirage         0         0         0         0         2         0         0         0         0         0         0         0
                                   Windward Winery         0         0         0         0         2         0         0         0         0         0         0         0
        The Westin Mission Hills Golf Resort & Spa         0         0         0         0         0         0         0         0         4         0         0         0
                   Sheraton Sonoma County-Petaluma         0         0         0         0         0         0         0         0         2         0         0         0
                          Ayres Hotel - Seal Beach         0         0         0         0         0         0         0         0         3         0         0         0
                          Dolphin Bay Resort & Spa         0         0         0         0         0         0         0         0         2         0         0         0
       Best Western The Inn & Suites Pacific Grove         0         0         0         0         0         0         0         0         2         0         0         0
                                The Casitas Estate         0         0         0         0         1         0         0         0         0         0         0         0
       Madrona Manor Wine Country Inn & Restaurant         0         0         0         0         1         0         0         0         0         0         0         0
                                          Tally Ho         0         0         0         0         1         0         0         0         0         0         0         0
                                   Bernardus Lodge         0         0         0         0         2         0         0         0         0         0         0         0
                       Hyatt Regency Newport Beach         0         0         0         0         0         0         0         0         2         0         0         0
                                CADE Estate Winery         0         0         0         0         0         0         0         0         1         0         0         0
                                Niner Wine Estates         0         0         0         0         0         0         0         0         2         0         0         0
                          Met Lofts Parking Garage         0         0         0         0         2         0         0         0         0         0         0         0
Fairfield Inn & Suites by Marriott Santa Cruz - Capitola         0         0         0         0         1         0         0         0         0         0         0         0
                              Ayres Hotel - Orange         0         0         0         0         0         0         0         0         3         0         0         0
                        The Resort At Pelican Hill         0         0         0         0         0         0         0         0         2         0         0         0
                                       Cass Winery         0         0         0         0         0         0         0         0         2         0         0         0
                     Alta Colina Vineyard & Winery         0         2         0         0         0         0         0         0         0         0         0         0
                     The Chateau at Lake La Quinta         0         0         0         0         0         0         0         0         3         0         0         0
                                  Favero Vineyards         0         0         0         0         0         0         0         0         1         0         0         0
       Heavenly Mountain Resort - California Lodge         0         0         0         0         0         0         0         0         1         0         0         0
                  The Ritz-Carlton, Marina Del Rey         0         0         0         0         0         0         0         0         2         0         0         0
                                    Redwood Suites         0         0         0         0         1         0         0         0         0         0         0         0
                           Las Casuelas Restaurant         0         0         0         0         0         0         0         0         3         0         0         0
                                 Ram's Gate Winery         0         0         0         0         0         0         0         0         0         2         0         0
                                  Little River Inn         0         0         0         0         0         0         0         0         0         2         0         0
                                 South Coast Plaza         0         0         0         0         1         0         0         0         0         0         0         0
                 Applewood Inn, Restaurant and Spa         0         0         0         0         2         0         0         0         0         0         0         0
                              Los Gatos Garden Inn         0         0         0         0         0         0         0         0         2         0         0         0
                                Carmel Mission Inn         0         0         0         0         0         0         0         0         0         2         0         0
                                    Basecamp Hotel         0         0         0         0         0         0         0         0         0         2         0         0
               Hotel Kabuki, a Joie de Vivre Hotel         0         0         0         0         1         0         0         0         0         0         0         0
                                     Courtwood Inn         0         0         0         0         0         0         0         0         1         0         0         0
                               The Inn at the Cove         0         0         0         0         0         0         0         0         1         0         0         0
                              David Coffaro Winery         0         0         0         0         0         0         0         0         1         0         0         0
                         Ayres Suites- Corona West         0         0         0         0         0         0         0         0         3         0         0         0
                                    Comstock Wines         0         1         0         0         0         0         0         0         0         0         0         0
                   Fremont Marriott Silicon Valley         0         0         0         0         3         0         0         0         0         0         0         0
                              Pacific Palms Resort         0         4         0         0         0         0         0         0         0         0         0         0
                       Loews Regency San Francisco         0         0         0         0         0         0         0         0         1         0         0         0
                            La Quinta Inn & Suites         0         0         0         0         0         0         0         0         0         1         0         0
                       The Majestic Yosemite Hotel         0         0         0         0         0         0         0         0         0         1         0         0
                       Fort Ross Vineyard & Winery         0         0         0         0         0         0         0         0         2         0         0         0
                Courtyard by Marriott Solana Beach         0         0         0         0         4         0         0         0         0         0         0         0
       Churchill Manor, a Select Registry Property         0         0         0         0         0         0         0         0         1         0         0         0
                            Reynolds Family Winery         0         0         0         0         0         0         0         0         1         0         0         0
                                    Avio Vineyards         0         0         0         0         0         0         0         0         2         0         0         0
                            Gershon Bachus Vinters         0         0         0         0         2         0         0         0         0         0         0         0
                     Taste Restaurant and Wine Bar         0         0         0         0         1         0         0         0         0         0         0         0
                             Ayres Hotel - Anaheim         0         0         0         0         0         0         0         0         3         0         0         0
                              Wheeler Farms Winery         2         0         0         0         0         0         0         0         0         0         0         0
                                        HALL Wines         0         0         0         0         0         0         0         0         2         0         0         0
                                       Niles Hotel         0         0         0         0         0         0         0         0         0         2         0         0
                                     Hearst Castle         0         0         0         0         6         0         0         0         0         0         0         0
                                     Super 8 Ukiah         0         0         0         0         0         0         0         0         0         2         0         0
                            Bardessono Hotel & Spa         0         0         0         0         0         0         0         0         2         0         0         0
                         Virginia Creek Settlement         0         0         0         0         0         0         0         0         1         0         0         0
                            Juniper Springs Resort         0         0         0         0         0         0         0         0         4         0         0         0
                                    Napa River Inn         0         0         0         0         0         0         0         0         2         0         0         0
                     Best Western Garden Court Inn         0         0         0         0         0         0         0         0         2         0         0         0
                              Montage Laguna Beach         0         4         0         0         0         0         0         0         0         0         0         0
                                  HammerSky Winery         0         0         0         0         2         0         0         0         0         0         0         0
                  The Gateway Restaurant and Lodge         0         0         0         0         0         0         0         0         2         0         0         0
                         Ayres Suites - Costa Mesa         0         0         0         0         0         0         0         0         3         0         0         0
                                   Desparada Wines         0         0         0         0         1         0         0         0         0         0         0         0
                             La Jolla Shores Hotel         0         0         0         0         2         0         0         0         0         0         0         0
                        Ayres Suites - Corona West         0         0         0         0         0         0         0         0         3         0         0         0
                                Hideaway Golf Club         0         0         0         0         0         0         0         0         0         0         0         3
       Best Western Plus Dana Point Inn By The Sea         0         0         0         0         1         0         0         0         0         0         0         0
              Los Angeles Marriott Burbank Airport         0         0         0         0         0         0         0         0         3         0         0         0
   Four Seasons Hotel Los Angeles at Beverly Hills         0         0         0         0         0         0         0         0         2         0         0         0
                                 Martinelli Winery         0         0         0         0         1         0         0         0         0         0         0         0
                    St. Mark Executive Golf Course         0         0         0         0         1         0         0         0         0         0         0         0
                                 Presqu'ile Winery         0         0         0         0         0         0         0         0         0         2         0         0
                              Shenandoah Vineyards         0         0         0         0         0         0         0         0         2         0         0         0
                            Coyote Creek Golf Club         0         0         0         0         0         0         0         0         4         0         0         0
             Renaissance Indian Wells Resort & Spa         0         0         0         0         0         4         0         0         0         0         0         0
                                   MacCallum House         0         0         0         0         0         0         0         0         2         0         0         0
                                   Chateau Margene         0         0         0         0         2         0         0         0         0         0         0         0
                              Riviera Palm Springs         0         0         0         0         0         0         0         0         3         0         0         0
                                    Tin City Cider         0         0         0         0         0         0         0         0         2         0         0         0
Carter House Inns and Restaurant 301, a Select Registry Property         0         0         0         0         1         0         0         0         0         0         0         0
                               Oxford Suites Chico         0         0         0         0         1         0         0         0         0         0         0         0
              Town House Motel - Historic Old Town         0         0         0         0         0         0         0         0         2         0         0         0
       Miramonte Resort & Spa, a Destination Hotel         0         0         0         0         2         0         0         0         0         0         0         0
                              Alcazar Palm Springs         0         0         0         0         1         0         0         0         0         0         0         0
       Marriott Riverside at the Convention Center         0         0         0         0         3         0         0         0         0         0         0         0
            Claremont Club & Spa, A Fairmont Hotel         0         0         0         0         0         0         0         0         1         0         0         0
                               Mr. C Beverly Hills         0         0         0         0         4         0         0         0         0         0         0         0
                      101 California Street Garage         0         0         0         0         0         0         0         0         2         0         0         0
      NCSD Administration and Engineering Building         0         0         0         0         0         0         0         0         2         0         0         0
                                    Peacock Suites         0         0         0         0         1         0         0         0         0         0         0         0
                                    Vineyard 7 & 8         0         0         0         0         0         0         0         0         2         0         0         0
                                     Casino M8trix         0         0         0         0         0         0         0         0         0         3         0         0
                                Ayres Lodge Alpine         0         0         0         0         0         0         0         0         3         0         0         0
                          L'Ermitage Beverly Hills         0         0         0         0         0         0         0         0         0         0         2         0
              Best Western Plus Sunset Plaza Hotel         0         0         0         0         0         0         0         0         2         0         0         0
                    San Francisco Marriott Marquis         0         0         0         0         0         0         0         0         0         2         0         0
                                The Beverly Hilton         0         0         0         0         0         0         0         0         4         0         0         0
                               Pamplemousse Grille         0         0         0         0         0         0         0         0         1         0         0         0
                    Hyatt Regency Huntington Beach         0         0         0         0         0         0         0         0         0         2         0         0
                   Best Western Plus Executive Inn         0         0         0         0         0         0         0         0         2         0         0         0
                                  Gray Eagle Lodge         0         0         0         0         1         0         0         0         0         0         0         0
                                       The Bergson         0         0         0         0         1         0         0         0         0         0         0         0
                              The Lodge at Tiburon         0         0         0         0         0         0         0         0         1         0         0         0
                           Tahoe Luxury Properties         0         0         0         0         0         0         0         0         0         1         0         0
        Embassy Suites Hotel - San Diego, La Jolla         0         0         0         0         0         0         0         0         0         0         2         0
                                      JUSTIN Wines         0         0         0         0         2         0         0         0         0         0         0         0
                                   Fern Valley Inn         0         0         0         0         2         0         0         0         0         0         0         0
                                 San Francisco Zoo         0         0         0         0         6         0         0         0         0         0         0         0
                 Hilton San Francisco Union Square         0         0         0         0         1         0         0         0         0         0         0         0
             The Westin Bonaventure Hotel & Suites         0         0         0         0         3         0         0         0         0         0         0         0
            Ayres Suites Ontario at the Mills Mall         0         0         0         0         0         0         0         0         3         0         0         0
                                      Island Hotel         0         0         0         0         1         0         0         0         0         0         0         0
                Yosemite Plaisance Bed & Breakfast         0         0         0         0         0         0         0         0         2         0         0         0
              Hyatt Regency Monterey Hotel and Spa         0         0         0         0         2         0         0         0         0         0         0         0
                               Bonanza King Resort         0         0         0         0         0         0         0         0         1         0         0         0
               JW Marriott Santa Monica Le Merigot         0         0         0         0         0         0         0         0         4         0         0         0
                            Luxe Rodeo Drive Hotel         0         0         0         0         4         0         0         0         0         0         0         0
                           Pear Valley Estate Wine         0         0         0         0         1         0         0         0         0         0         0         0
                                Carmel Country Inn         0         0         0         0         1         0         0         0         0         0         0         0
                                   Alibi Ale Works         0         0         0         0         0         0         0         0         2         0         0         0
                                     Montecito Inn         0         0         0         0         0         0         4         0         0         0         0         0
                                     Ambrose Hotel         0         0         0         0         0         0         0         0         0         0         0         2
                                The Epiphany Hotel         0         0         0         0         1         0         0         0         0         0         0         0
                             Seascape Beach Resort         0         0         0         0         0         0         0         0         3         0         0         0
                                 Quivira Vineyards         0         0         0         0         0         0         0         0         1         0         0         0
                               Pacific Crest Hotel         0         0         0         0         0         0         0         0         1         0         0         0
                                Hans Fahden Winery         0         1         0         0         0         0         0         0         0         0         0         0
                      Trinidad Bay Bed & Breakfast         0         0         0         0         1         0         0         0         0         0         0         0
Hampton Inn & Suites Windsor - Sonoma Wine Country         0         0         0         0         0         0         0         0         0         2         0         0
                                 Monterey Marriott         0         0         0         0         0         0         0         0         0         2         0         0
                 Ayres Hotel & Spa - Moreno Valley         0         0         0         0         0         0         0         0         2         0         0         0
                                Alpha Omega Winery         0         0         0         0         0         0         0         0         0         0         0         3
                           Avila Lighthouse Suites         0         0         0         0         0         0         0         0         1         0         0         0
                              Santa Clara Marriott         0         0         0         0         1         0         0         0         0         0         0         0
                                        Olea Hotel         0         0         0         0         0         0         0         0         1         0         0         0
                       Wilshire West Medical Tower         0         0         0         0         0         0         0         0         0         0         1         0
                          Hyatt Regency Sacramento         0         0         0         0         0         0         0         0         6         0         0         0
                  San Manuel Indian Bingo & Casino         0         0         0         0         2         0         0         0         0         0         0         0
                      Dennen's Victorian Farmhouse         0         0         0         0         1         0         0         0         0         0         0         0
