                                              Dest      17kW      10kW      64kW      21kW       8kW      11kW      14kW      40kW      16kW      13kW       6kW      20kW
                             Halter Ranch Vineyard         0         0         0         0         3         0         0         0         0         0         0         0
                Hyatt Vineyard Creek Hotel and Spa         0         0         0         0         0         0         0         0         2         0         0         0
                       Silver Oak Alexander Valley         0         0         0         0         0         0         0         0         4         0         0         0
                  Clos Solene Winery/ Aaron Winery         0         0         0         0         1         0         0         0         0         0         0         0
                                 Balboa Bay Resort         0         0         0         0         0         0         0         0         2         0         0         0
                           Cedar House Sport Hotel         0         0         0         0         0         0         0         0         1         0         0         0
                     The Mountain House Restaurant         0         0         0         0         2         0         0         0         0         0         0         0
       InterContinental Mark Hopkins San Francisco         0         0         0         0         0         0         0         0         0         2         0         0
                                  Ovid Napa Valley         0         0         0         0         0         0         0         0         1         0         0         0
             Doubletree by Hilton - Newark/Fremont         0         0         0         0         0         0         0         0         4         0         0         0
                                The Monterey Hotel         0         0         0         0         0         0         0         0         2         0         0         0
               Sheraton San Diego Hotel and Marina         0         0         0         0         0         0         0         0         2         0         0         0
                       Quality Inn - Redwoods Area         0         0         0         0         0         0         0         0         4         0         0         0
                     Ayres Hotel - Fountain Valley         0         0         0         0         0         0         0         0         3         0         0         0
                                  Broadstone Plaza         0         0         0         0         0         0         0         0         2         0         0         0
                                     A Shade Above         0         0         0         0         2         0         0         0         0         0         0         0
                         Storybook Mountain Winery         0         0         0         0         0         0         0         0         0         1         0         0
                          Avenue of the Arts Hotel         0         0         0         0         0         0         0         0         2         0         0         0
                Hotel Maya, a Doubletree by Hilton         0         0         0         0         2         0         0         0         0         0         0         0
                        Old Faithful Geyser Resort         0         0         0         0         0         2         0         0         0         0         0         0
                            Quixote and Pott Wines         0         0         0         0         0         0         0         0         1         0         0         0
                               Cambria Beach Lodge         0         1         0         0         0         0         0         0         0         0         0         0
                                Terra Savia Winery         0         0         0         0         0         0         0         0         0         2         0         0
          W Hotel Los Angeles - West Beverly Hills         0         0         0         0         0         0         0         0         2         0         0         0
                               Herman Story Winery         0         0         0         0         2         0         0         0         0         0         0         0
                                 Chateau du Sureau         0         0         0         0         0         0         0         0         2         0         0         0
                                  Hounds Tooth Inn         0         0         0         0         2         0         0         0         0         0         0         0
                          Booker Vineyard & Winery         0         0         0         0         0         0         0         0         2         0         0         0
                                    Sparrows Lodge         0         0         0         0         1         0         0         0         0         0         0         0
                          Twin Pine Casino & Hotel         0         0         0         0         0         0         0         0         3         0         0         0
                               Carmel Valley Ranch         0         0         0         0         0         0         2         0         0         0         0         0
                   El Colibri Boutique Hotel & Spa         0         0         0         0         0         0         0         0         0         0         1         0
                                 Wine & Rose Hotel         0         2         0         0         0         0         0         0         0         0         0         0
                          1600 Vine Parking Garage         0         0         0         0         2         0         0         0         0         0         0         0
      The Ritz-Carlton, Half Moon Bay + Golf Links         0         0         0         0         0         0         0         0         6         0         0         0
                 Holiday Inn Express Mountain View         0         0         0         0         1         0         0         0         0         0         0         0
               Residence Inn Los Angeles L.A. Live         0         1         0         0         0         0         0         0         0         0         0         0
                         Best Western Plus La Mesa         0         0         0         0         2         0         0         0         0         0         0         0
                          Manhattan Beach Marriott         0         0         0         0         4         0         0         0         0         0         0         0
